PLAYER;TEAM;Games;Season;C3R;C3R_A;E3R;E3R_A;Ce3R;Ce3R_A;Ce3L;Ce3L_A;E3L;E3L_A;C3L;C3L_A;MBR;MBR_A;MER;MER_A;MEL;MEL_A;MBL;MBL_A;PR;PR_A;PC;PC_A;PL;PL_A
PAVEL KOROBKOV;CSK       ;4;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;2;1;1;1;1
MIKHAIL KULAGIN;CSK       ;6;18;0;1;1;2;3;4;0;2;0;0;1;1;0;0;1;1;0;1;0;0;1;1;0;0;1;1
NIKITA KURBANOV;CSK       ;35;18;1;8;4;9;1;3;1;5;4;15;5;12;4;8;0;4;1;5;2;7;9;15;17;22;11;20
RODIONS KURUCS;BAR       ;2;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
OGNJEN KUZMIC;MAD       ;2;18;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0
MINDAUGAS KUZMINSKAS;MIL       ;14;18;0;1;6;14;1;6;6;8;2;6;1;2;1;1;0;4;0;4;2;3;8;17;17;32;9;17
STEFAN LAZAREVIC;RED       ;2;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0
BRANKO LAZIC;RED       ;30;18;5;14;5;17;0;3;1;2;3;13;1;9;1;6;1;2;2;4;4;7;3;12;7;13;1;3
RICKY LEDO;IST       ;12;18;2;3;3;11;1;8;2;5;5;17;0;7;1;6;1;7;3;6;5;9;5;17;7;18;4;12
LUKAS LEKAVICIUS;PAN       ;29;18;0;0;9;15;0;4;4;6;4;10;0;0;1;2;4;8;12;24;1;4;0;1;3;8;5;9
MATHIAS LESSORT;RED       ;30;18;0;0;0;0;0;1;0;0;0;0;0;0;4;6;4;15;3;10;1;2;37;58;39;74;12;16
SERGIO LLULL;MAD       ;4;18;0;1;4;7;4;9;0;3;1;3;0;0;0;0;1;1;0;5;0;0;1;1;0;1;2;4
MAODO LO;BAM       ;30;18;3;8;6;18;11;22;6;16;7;16;4;7;2;5;1;6;7;15;2;3;15;30;3;10;13;23
MATT LOJESKI;PAN       ;27;18;1;3;14;22;3;10;0;4;11;22;1;5;2;8;3;10;3;12;1;2;8;9;6;13;5;6
AMATH M'BAYE;MIL       ;29;18;2;8;9;24;2;3;3;5;5;17;4;9;6;13;1;4;0;4;2;7;13;16;10;14;5;10
JONAS MACIULIS;MAD       ;20;18;2;4;6;13;0;3;0;4;4;15;1;3;1;2;0;2;0;2;1;1;4;4;2;4;2;3
MELIH MAHMUTOGLU;ULK       ;13;18;0;6;2;5;2;3;0;2;1;2;1;2;1;4;1;5;1;3;1;4;0;0;1;1;2;2
RINALDS MALMANIS;BAS       ;10;18;1;4;2;3;0;0;0;0;0;1;0;0;0;0;0;0;0;2;1;1;3;7;1;1;1;3
VANGELIS MANTZARIS;OLY       ;30;18;0;2;10;30;4;8;4;16;6;27;0;2;0;0;0;6;0;2;0;0;4;5;5;9;4;7
STEFAN MARKOVIC;KHI       ;33;18;1;1;8;25;1;14;1;14;12;31;2;4;0;4;2;15;2;8;2;5;9;11;10;23;2;4
IVAN MARTINEZ;BAS       ;2;18;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
RAFA MARTINEZ;PAM       ;26;18;1;3;13;23;8;12;3;7;7;22;1;4;0;2;3;8;5;6;4;7;8;13;0;1;6;9
KARAM MASHOUR;TEL       ;4;18;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;2;3;6;0;0
GYTIS MASIULIS;ZAL       ;5;18;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1;1;1;2;0;1
RAY MCCALLUM;MAL       ;29;18;4;10;5;20;3;10;1;3;4;12;0;7;1;13;5;12;6;23;3;17;26;50;15;27;32;46
ERRICK MCCOLLUM;IST       ;29;18;5;9;9;26;13;34;10;25;11;29;4;6;17;33;18;54;18;40;17;38;11;18;8;19;5;9
WILLIAM MCDOWELL-WHITE;BAM       ;1;18;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
JAMEL MCLEAN;OLY       ;31;18;0;0;0;1;0;1;1;1;0;0;0;0;3;13;8;21;1;9;1;3;35;50;32;45;10;19
JORDAN MCRAE;BAS       ;3;18;0;0;0;1;0;0;0;1;0;2;1;2;0;1;1;4;1;1;0;1;1;1;0;1;0;2
NICOLO MELLI;ULK       ;36;18;10;15;5;17;6;12;1;3;5;17;5;11;4;13;9;17;8;10;5;17;17;29;20;37;14;18
VASILIJE MICIC;ZAL       ;36;18;2;3;6;18;3;7;5;10;4;17;2;5;4;11;8;21;6;13;1;6;23;44;13;36;21;34
VLADIMIR MICOV;MIL       ;29;18;5;14;15;29;4;12;6;15;8;22;9;14;8;18;6;19;9;15;9;17;21;36;7;13;8;15
ARTURAS MILAKNIS;ZAL       ;36;18;2;11;18;43;4;17;12;21;27;53;12;20;3;5;0;2;1;5;1;3;5;6;8;12;4;6
DRAGAN MILOSAVLJEVIC;MAL       ;26;18;1;8;6;16;1;4;1;4;7;15;0;4;3;7;2;16;5;7;3;8;14;25;11;20;5;9
NIKOLA MILUTINOV;OLY       ;27;18;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;11;6;14;1;1;29;35;34;55;17;24
KONSTANTINOS MITOGLOU;PAN       ;3;18;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
LUKA MITROVIC;BAM       ;16;18;0;1;0;1;1;3;1;2;1;1;0;0;0;3;1;4;0;1;0;0;9;16;6;9;9;14
ADRIEN MOERMAN;BAR       ;30;18;3;8;9;37;5;10;4;10;11;29;2;10;7;9;1;6;1;9;4;6;15;24;18;29;11;16
SERGEY MONIA;KHI       ;28;18;1;4;11;19;4;12;3;9;3;13;2;3;3;5;0;1;1;3;1;2;1;1;6;13;0;0
BROCK MOTUM;IST       ;29;18;2;3;9;20;2;8;3;12;9;22;3;7;4;7;6;15;3;9;2;13;16;24;18;31;20;33
ALI MUHAMMED;ULK       ;19;18;3;3;9;19;9;13;9;24;4;14;2;4;2;5;2;5;2;7;0;1;3;5;6;8;0;2
EDO MURIC;IST       ;6;18;1;1;0;2;0;2;0;0;0;4;0;1;0;1;0;1;1;1;0;0;1;2;2;5;2;3
DEJAN MUSLI;MAL       ;22;18;0;0;0;0;0;0;0;0;0;0;0;0;4;11;2;9;2;6;2;4;29;38;24;36;10;22
MUHAYMIN MUSTAFA;IST       ;5;18;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;2;0;1;1;1;0;0;2;2
JUAN CARLOS NAVARRO;BAR       ;22;18;0;1;4;14;3;10;6;14;12;38;2;6;3;7;6;17;2;10;4;5;0;1;3;8;1;2
NEMANJA NEDOVIC;MAL       ;23;18;2;5;18;47;8;22;9;21;17;48;0;1;3;7;12;28;7;20;2;11;22;39;13;19;18;32
ALEKSEJ NIKOLIC;BAM       ;21;18;0;1;1;7;2;2;1;2;5;15;1;4;1;5;1;5;1;3;0;1;5;7;4;7;3;4
JAMES NUNNALLY;ULK       ;29;18;9;15;9;17;4;6;2;9;13;23;8;11;3;6;5;12;6;15;6;10;12;18;8;15;9;16
VINY OKOUO;MAL       ;10;18;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;1;6;4;5;2;5
LOUIS OLINDE;BAM       ;11;18;0;2;1;3;0;0;0;0;0;2;0;1;1;1;1;1;0;1;1;2;3;3;2;3;0;1
ALEN OMIC;RED       ;9;18;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;4;0;1;0;0;12;13;12;16;12;18
PIERRE ORIOLA;BAR       ;27;18;2;4;3;7;2;3;0;4;6;9;2;4;2;6;3;5;6;10;1;4;33;48;16;29;5;10
KEVIN PANGOS;ZAL       ;36;18;1;3;18;42;11;32;14;24;27;50;3;6;2;12;11;23;10;21;7;11;30;57;13;35;19;28
KOSTAS PAPANIKOLAOU;OLY       ;27;18;3;9;12;22;5;10;0;6;4;16;0;1;1;2;0;3;1;3;2;2;13;19;12;27;14;20
IOANNIS PAPAPETROU;OLY       ;30;18;1;10;5;18;2;10;3;8;11;28;2;9;1;12;3;14;5;12;4;8;17;25;18;26;8;15
NIKOS PAPPAS;PAN       ;32;18;0;1;8;24;4;19;7;19;9;21;0;1;0;5;9;17;5;24;0;0;12;21;15;31;19;24
ARTSIOM PARAKHOUSKI;TEL       ;29;18;0;0;0;0;0;0;0;0;0;0;0;0;2;4;9;18;4;11;0;1;16;20;52;77;11;18
DAVIDE PASCOLO;MIL       ;10;18;0;1;0;3;0;1;0;0;0;1;0;0;1;2;1;2;1;6;1;3;5;7;8;13;2;2
ADREIAN PAYNE;PAN       ;12;18;0;0;0;0;0;3;0;0;0;2;0;0;1;4;2;4;1;5;0;1;8;8;7;11;3;5
TIBOR PLEISS;PAM       ;28;18;0;0;0;0;2;2;2;6;1;2;0;0;3;7;5;18;6;13;2;11;28;45;44;66;19;29
VINCENT POIRIER;BAS       ;33;18;0;0;0;0;0;0;0;0;0;0;0;0;3;10;4;10;2;9;1;9;33;48;42;67;25;39
PHIL PRESSEY;BAR       ;17;18;1;3;2;8;3;10;1;4;1;9;0;0;1;2;3;7;0;2;1;1;9;13;4;5;3;9
GEORGIOS PRINTEZIS;OLY       ;27;18;0;2;8;23;2;6;2;8;7;20;3;6;6;21;10;23;13;25;10;29;15;25;28;45;21;33
JOSEP PUERTO;PAM       ;3;18;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;0;0;0;2;0;0;1;1;0;1
NIKOLA RADICEVIC;RED       ;9;18;0;1;1;6;0;0;1;4;0;0;0;0;1;6;1;3;0;4;0;0;2;8;1;3;1;2
DINO RADONCIC;MAD       ;5;18;0;0;0;4;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1
LEON RADOSEVIC;BAM       ;28;18;0;0;0;0;0;0;0;0;0;1;0;0;9;15;7;18;4;20;0;3;25;43;24;35;10;14
CHASSON RANDLE;MAD       ;18;18;0;0;3;8;1;3;1;3;2;4;2;2;2;2;1;1;0;2;0;0;7;14;3;9;0;2
ANTHONY RANDOLPH;MAD       ;21;18;1;7;2;11;1;6;6;8;2;10;2;3;6;20;0;5;1;4;7;11;15;20;16;28;9;11
FELIPE REYES;MAD       ;35;18;0;0;1;2;0;1;1;1;1;1;0;0;4;10;3;10;2;13;3;7;44;63;29;38;11;22
PAU RIBAS;BAR       ;26;18;3;4;10;27;4;12;5;8;14;30;6;8;1;5;1;4;2;6;1;3;6;7;8;10;3;4
KC RIVERS;PAN       ;30;18;3;13;17;46;5;15;3;10;21;56;4;5;1;5;10;14;6;12;5;15;0;1;6;18;13;18
BRIAN ROBERTS;OLY       ;31;18;3;4;9;21;11;24;1;7;5;10;3;6;4;10;8;14;4;18;4;10;10;15;1;11;1;5
THOMAS ROBINSON;KHI       ;20;18;0;0;0;1;0;0;0;0;0;0;0;0;1;4;2;9;3;13;1;4;14;26;37;65;11;20
TAYLOR ROCHESTIE;RED       ;30;18;0;2;18;46;10;25;16;32;5;16;0;1;9;19;24;41;30;60;6;16;6;12;10;16;18;22
SERGIO RODRIGUEZ;CSK       ;35;18;9;12;29;71;16;40;16;37;20;36;2;7;12;20;10;19;11;24;4;5;22;34;12;19;7;14
MICHAEL ROLL;TEL       ;29;18;0;1;12;33;2;5;0;4;15;30;2;2;9;20;12;27;7;23;7;12;4;5;22;36;4;7
AUGUSTINE RUBIT;BAM       ;30;18;0;3;2;8;1;1;2;4;2;3;0;0;6;11;4;9;7;20;1;9;18;34;37;60;26;39
VICTOR RUDD;CSK       ;11;18;0;0;1;5;1;1;0;2;0;4;2;2;0;1;0;1;0;0;0;1;2;3;2;5;1;1
DAMJAN RUDEZ;PAM       ;9;18;2;4;1;4;0;0;0;1;3;6;2;3;0;1;0;2;0;0;0;4;0;1;2;2;1;2
MARTYNAS SAJUS;ZAL       ;5;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;2
SASU SALIN;MAL       ;27;18;3;12;11;32;3;11;4;13;10;31;1;4;1;7;2;7;2;5;1;7;7;11;1;4;2;4
FERNANDO SAN EMETERIO;PAM       ;19;18;2;3;7;21;1;4;5;8;5;21;5;8;1;5;8;15;0;4;3;3;17;31;5;11;5;10
