PLAYER;CODETEAM;Season;T2A_j;T2A_e;T3A_j;T3A_e;TLA_j;TLA_e;DREB_j;DREB_t;OREB_j;OREB_t;TO_j;TO_e
MARCUS WILLIAMS;RED       ;16;9;34;9;25;4;18;5;37;1;37;6;17
VASSILIS TOLIOPOULOS;OLY       ;16;0;0;0;2;2;2;0;1;0;2;0;0
NIKOS PAPPAS;PAN       ;16;4;27;5;13;10;45;2;32;0;26;2;18
RARES UTA;MAL       ;16;0;1;0;5;0;0;0;5;0;4;1;2
MAURICE NDOUR;MAD       ;16;7;38;2;30;0;22;4;41;3;40;3;18
NEMANJA DANGUBIC;RED       ;16;34;269;31;144;13;121;30;262;7;232;28;120
RICKY HICKMAN;ULK       ;16;39;212;28;119;29;96;23;205;2;190;11;79
SHAWN JAMES;OLY       ;16;14;29;1;19;3;8;4;29;4;30;2;11
VASSILIS MOURATOS;OLY       ;16;1;2;0;1;0;0;0;0;0;3;0;0
JACK COOLEY;MAL       ;16;47;147;0;117;44;84;27;141;33;150;12;69
YOVEL ZOOSMAN;TEL       ;16;0;1;0;2;0;0;0;5;0;3;0;0
JOEL FREELAND;CSK       ;16;54;177;0;108;24;86;35;177;18;159;13;60
MIKHAIL KULAGIN;CSK       ;16;0;4;4;6;4;6;1;2;0;10;0;3
ANDREAS SEIFERTH;MUN       ;16;0;3;0;1;0;0;0;3;0;1;0;2
TONI KATIC;CED       ;16;9;74;4;32;13;58;7;80;1;66;7;29
DeMARCUS NELSON;MAL       ;16;57;236;23;138;11;111;19;195;10;242;20;73
MARTYNAS SAJUS;ZAL       ;16;12;75;0;26;0;28;8;59;11;63;4;23
DMITRY SOKOLOV;KHI       ;16;14;54;0;38;13;34;13;65;10;55;9;22
TARENCE KINSEY;RED       ;16;102;332;31;171;41;174;27;300;8;309;24;140
DARIUS JOHNSON-ODOM;OLY       ;16;23;153;18;89;20;126;12;125;5;155;7;40
IVAN LAZAREV;CSK       ;16;7;33;0;18;4;15;1;40;6;32;4;18
DAVIS BERTANS;BAS       ;16;13;223;57;225;21;144;24;277;5;272;12;93
NIKITA BALASHOV;TIV       ;16;0;5;1;6;0;4;0;6;1;7;2;7
ELEFTHERIOS BOCHORIDIS;PAN       ;16;0;4;0;0;2;4;0;4;0;2;0;4
CHISTIAN UTA;MAL       ;16;0;1;0;2;0;2;1;2;0;1;0;1
MATT JANNING;TIV       ;16;36;239;61;220;10;146;16;253;9;273;18;82
ELLIOT WILLIAMS;PAN       ;16;75;278;21;110;48;121;23;234;5;238;19;94
AUGUSTO CESAR LIMA;MAD       ;16;15;55;0;54;6;31;10;59;6;64;6;25
JOEY DORSEY;BAR       ;16;24;139;0;82;26;78;40;151;23;134;12;48
KOSTAS PAPANIKOLAOU;OLY       ;16;21;133;17;67;12;88;21;122;9;124;5;38
JASON BOONE;KHI       ;16;4;27;1;23;0;12;4;17;3;28;1;4
HAKIM WARRICK;OLY       ;16;18;52;0;25;14;36;8;43;9;49;2;10
JEROME RANDLE;ZAL       ;16;49;154;16;57;5;69;8;127;2;143;9;40
ELIJAH JOHNSON;IST       ;16;8;55;13;34;2;19;10;64;1;56;2;25
VINCE HUNTER;PAN       ;16;15;45;1;31;13;53;7;52;8;49;3;18
JOSH BOONE;KHI       ;16;17;71;0;48;11;40;15;59;7;72;3;18
VYTENIS LIPKEVICIUS;ZAL       ;16;2;8;1;1;0;2;0;3;2;6;1;5
