PLAYER;CODETEAM;Season;T2A_j;T2A_e;T3A_j;T3A_e;TLA_j;TLA_e;DREB_j;DREB_t;OREB_j;OREB_t;TO_j;TO_e
STRATOS PERPEROGLOU;IST       ;15;65;295;95;342;68;312;81;575;18;570;25;179
SUACAN PISKIN;GAL       ;15;1;3;0;1;0;1;0;2;1;5;0;1
SYLVEN LANDESBERG;TEL       ;15;52;207;52;187;28;150;37;344;11;324;12;99
TARENCE KINSEY;NOV       ;15;87;239;39;229;60;198;60;422;17;376;30;146
TAYLOR ROCHESTIE;NOV       ;15;88;279;98;318;68;218;21;501;7;469;44;165
THOMAS HEURTEL;BAS       ;15;100;333;92;412;51;375;65;623;8;623;76;216
TIBOR PLEISS;BAR       ;15;31;178;2;192;33;135;69;295;29;283;20;96
TOMAS DIMSA;ZAL       ;15;5;32;3;28;2;30;5;56;4;63;2;16
TOMAS SATORANSKY;BAR       ;15;39;267;46;301;60;277;56;462;24;429;26;148
TOMISLAV ZUBCIC;CED       ;15;9;75;33;107;15;68;22;132;8;166;9;53
TONY TAYLOR;ZGO       ;15;28;113;19;145;44;138;26;252;1;255;16;98
TORNIKE SHENGELIA;BAS       ;15;43;203;33;268;85;260;69;444;37;450;32;149
TREMMELL DARDEN;OLY       ;15;46;146;34;231;23;160;33;363;15;375;19;127
TRENT PLAISTED;LMG       ;15;1;46;0;86;18;43;16;107;10;120;5;52
TRENTON MEACHAM;MIL       ;15;0;16;7;33;0;17;6;35;0;44;2;14
TREY THOMPKINS;NOV       ;15;65;284;80;311;43;234;127;498;35;484;35;170
UROS NIKOLIC;ZGO       ;15;10;44;0;35;17;48;15;69;9;67;9;25
VADIM PANIN;UNK       ;15;0;8;6;10;0;16;2;16;0;17;0;7
VAIDAS KARINIAUSKAS;ZAL       ;15;19;115;16;100;15;85;21;234;4;196;28;101
VALDAS VASYLIUS;KLA       ;15;17;72;23;92;18;77;18;115;8;143;7;50
VALERIY LIKHODEY;UNK       ;15;1;4;0;2;0;0;1;7;0;6;0;3
VANGELIS MANTZARIS;OLY       ;15;17;210;83;379;23;268;52;565;13;561;30;201
VASILEIOS KAVVADAS;OLY       ;15;2;23;0;25;8;36;9;53;6;53;8;27
VASILIJE MICIC;MUN       ;15;23;74;10;52;8;51;7;87;2;98;14;27
VASILIS CHARALAMPOPOULOS;PAN       ;15;2;29;7;59;8;40;11;91;3;90;8;43
VASSILIS SPANOULIS;OLY       ;15;52;243;146;444;137;353;41;636;5;634;80;214
VICTOR KHRYAPA;CSK       ;15;6;37;7;43;6;52;16;84;4;73;9;37
VIKTOR SANIKIDZE;UNK       ;15;0;50;5;57;10;48;15;91;12;78;5;32
VITALY FRIDZON;CSK       ;15;41;188;71;233;37;168;38;409;12;318;22;129
VLAD MOLDOVEANU;ZGO       ;15;15;70;27;97;14;81;16;142;7;147;8;47
VLADIMIR GOLUBOVIC;MAL       ;15;35;178;0;185;53;175;68;294;39;357;22;124
VLADIMIR IVLEV;NOV       ;15;6;40;1;48;4;44;6;61;8;80;5;31
VLADIMIR LUCIC;PAM       ;15;12;101;19;131;21;80;19;158;7;190;4;60
VLADIMIR MICOV;GAL       ;15;62;263;61;292;51;252;47;473;13;478;27;178
VLADIMIR STIMAC;MUN       ;15;16;94;3;82;24;80;30;117;11;146;5;38
VLADIMIR JANKOVIC;PAN       ;15;50;226;96;433;58;293;69;601;30;602;25;224
VOJDAN STOJANOVSKI;BER       ;15;18;71;19;69;8;74;11;115;2;127;6;57
VYTAUTAS SARAKAUSKAS;KLA       ;15;1;1;1;1;0;4;1;3;0;3;0;1
VYTENIS LIPKEVICIUS;ZAL       ;15;5;54;5;33;5;41;12;98;5;68;10;45
WILL CHERRY;ZAL       ;15;25;139;37;141;24;105;32;240;4;233;24;90
WILL DANIELS;NOV       ;15;1;11;2;11;4;10;5;16;3;27;2;10
WILL THOMAS;MAL       ;15;33;217;25;258;33;233;58;378;46;450;15;141
YASSIN IDBIHI;MUN       ;15;7;25;0;28;0;14;5;36;1;41;3;15
YOGEV OHAYON;TEL       ;15;66;353;58;329;32;267;64;633;17;554;47;225
ZORAN ERCEG;GAL       ;15;59;271;129;360;89;284;75;536;20;557;26;193
