PLAYER;CODETEAM;Season;T2A_j;T2A_e;T3A_j;T3A_e;TLA_j;TLA_e;DREB_j;DREB_t;OREB_j;OREB_t;TO_j;TO_e
DEVIN WILLIAMS;BUD       ;19;16;63;0;31;9;26;13;39;2;47;2;21
FEDOR ZUGIC;BUD       ;19;0;1;0;0;0;0;0;0;0;0;0;0
JACOB WILEY;CAN       ;19;49;137;1;105;10;51;9;112;9;141;13;55
CORY JEFFERSON;CAN       ;19;10;55;12;48;1;20;7;51;5;59;1;22
GEORGIOS KALAITZAKIS;PAN       ;19;1;4;1;1;0;0;0;1;0;3;0;1
SANTI YUSTA;MAD       ;19;6;43;7;31;8;25;3;33;2;47;3;11
TADAS SEDEKERSKIS;BAS       ;19;3;5;0;5;0;0;1;4;1;7;0;3
MELWIN PANTZAR;MAD       ;19;1;8;2;7;0;4;0;14;0;8;1;1
KHALIFA DIOP;CAN       ;19;2;8;0;5;2;2;2;5;2;8;0;1
DIMITRIS AGRAVANIS;OLY       ;19;1;5;1;1;2;7;0;4;0;4;0;3
