player;height;position;year_born;nationality
VLADIMIR GOLUBOVIC;2.12;Center;1986;Serbia
RYAN GOMES;2.01;Forward;1982;United States of America
ANTOINE GOMIS;2.05;Forward;1989;France
JOSEPH GOMIS;;Guard;1978;France
KEREM GONLUM;2.08;Center;1977;Turkey
KONSTANTINOS GONTIKAS;2.06;Center;1994;Greece
OSCAR GONZALEZ DE LAS CUEVAS;;;1977;Spain
ADRIAN GONZALEZ;;;1990;Spain
MIGUEL GONZALEZ;2.01;Guard;1999;Spain
RICARDO GONZALEZ;;;1753;
SERGIY GORBENKO;2.02;Forward;1985;Ukraine
NEMANJA GORDIC;1.93;Guard;1988;Serbia
DREW GORDON;2.06;Forward;1990;United States of America
JAMON GORDON;1.91;Guard;1984;United States of America
JAMONT GORDON;1.94;Guard;1987;United States of America
MARCUS GOREE;2.03;Forward;1977;United States of America
BORIS GORENC;1.95;Guard;1973;Slovenia
GAIZKA GOROSPE;1.88;;1986;Spain
MARCIN GORTAT;2.14;Center;1984;Poland
MICHAEL GOSPODAREK;1.86;Guard;1991;Poland
ANDREW GOUDELOCK;1.91;Guard;1988;United States of America
OLIVIER GOUEZ;2.18;Center;1984;France
ANTONIO GRANGER;2.01;Guard;1976;United States of America
JAYSON GRANGER;1.89;Guard;1989;Italy
IAN GRANJA;1.99;Guard;2003;Spain
KENNETH GRANT;1.88;Guard;1982;Sweden
SASHA GRANT;1.98;Forward;2002;Italy
TYRONE GRANT;2.02;Forward;1977;United States of America
FRANCESCO GRAVAGHI;1.95;Guard;2003;Italy
ANTONIO GRAVES;1.91;Guard;1985;United States of America
ROBERTO GRAZIANO;;;1984;Italy
DAVID GRBESIC;;;1979;Croatia
CALEB GREEN;2.03;Forward;1985;United States of America
DANNY GREEN;1.98;Guard;1987;United States of America
DEVIN GREEN;2.01;Forward;1982;United States of America
ERICK GREEN;1.90;Guard;1992;United States of America
GARLON GREEN;2.01;Guard;1991;United States of America
MARQUES GREEN;1.65;Guard;1982;United States of America
NATHAN GREEN;1.95;Guard;1977;United States of America
YANIV GREEN;2.06;Center;1980;Israel
BRIAN GREENE;2.03;Forward;1981;United States of America
DEMOND GREENE;;Guard;1979;Germany
JEFF GREER;1.95;Forward;1979;Dominican Republic
LYNN GREER;1.86;Guard;1979;United States of America
RICARDO GREER;1.96;Forward;1977;Dominican Republic
KENNY GREGORY;1.97;Forward;1978;United States of America
ALAN GREGOV;1.91;Guard;1970;Croatia
ROBIN GREY;1.96;Guard;1976;Germany
IVAN GRGAT;2.11;;1974;Croatia
ANTE GRGUREVIC;2.00;Guard;1975;Croatia
ALLEN GRIFFIN;1.86;Guard;1978;United States of America
RASHARD GRIFFITH;2.11;Center;1974;United States of America
MARIUS GRIGONIS;1.98;Guard;1994;Lithuania
MAXIM GRIGORYEV;1.95;Guard;1990;Russian Federation
JORDI GRIMAU;1.99;Forward;1983;Spain
ROGER GRIMAU;1.96;Guard;1978;Spain
LUKA GRUM;1.96;;1992;Slovenia
SAMO GRUM;1.94;Guard;1979;Slovenia
GUIDO GRUNHEID;2.06;Forward;1982;Germany
ROMAN GRUSHCHENKO;2.05;Forward;1995;Russian Federation
KAROL GRUSZECKI;1.96;Guard;1989;Poland
DAVID GUARDIA;2.00;Forward;1990;Spain
PETR GUBANOV;2.07;Forward;1987;Russian Federation
ARTURAS GUDAITIS;2.08;Center;1993;Lithuania
ALEKSANDR GUDUMAK;2.04;Forward;1993;Russian Federation
MARKO GUDURIC;1.96;Guard;1995;Serbia
DENAPOKA GUEDEGBE;;;1753;
R.T. GUINN;2.08;Center;1981;United States of America
ZEKI GULAY;2.05;Center;1972;Turkey
MURATCAN GULER;1.92;Guard;1980;Turkey
SINAN GULER;1.92;Guard;1983;Turkey
ROBERT GULYAS;2.13;Center;1974;Hungary
MILAN GUROVIC;2.07;Forward;1976;Serbia
GIEDRIUS GUSTAS;1.90;Guard;1980;Lithuania
JAVIER GUTIERREZ;2.02;;1979;Spain
EGEMEN GUVEN;2.06;Center;1996;Turkey
AJ GUYTON;1.87;Guard;1978;United States of America
BORIS GVERIC;2.07;Center;1991;
ORHAN HACIYEVA;2.03;Forward;1989;Turkey
DANIEL HACKETT;1.96;Guard;1987;Italy
GREGOR HAFNAR;;;1977;Slovenia
DROR HAGAG;1.78;Guard;1978;Israel
SAM HAGGINAS;2.06;Forward;1979;United States of America
DANIEL HAIN;1.95;Guard;1985;Germany
MALIK HAIRSTON;1.98;Forward;1987;United States of America
MARCUS HAISLIP;2.07;Forward;1980;United States of America
LUDDE HAKANSON;1.90;Guard;1996;Sweden
RONALD HALE;2.03;Forward;1977;United States of America
MIRALEM HALILOVIC;2.06;Forward;1991;Bosnia and Herzegovina
LANGSTON HALL;1.92;Guard;1991;United States of America
MIKE HALL;2.03;Forward;1984;United States of America
YOTAM HALPERIN;1.96;Guard;1984;Israel
STEFFEN HAMANN;1.94;Guard;1981;Germany
DERECK HAMILTON;2.00;Forward;1966;Israel
JOHNNY HAMILTON;2.13;Center;1994;Trinidad and Tobago
JUSTIN HAMILTON;1.90;Guard;1980;United States of America
LAMONT  HAMILTON;2.08;Center;1984;United States of America
SHERMAN HAMILTON;1.85;Guard;1972;Canada
VENSON HAMILTON;2.07;Center;1977;United States of America
GERRIT HAMMINK;2.12;Center;1969;Netherlands
CLIFF HAMMONDS;1.90;Guard;1985;United States of America
TOMAS HAMPL;2.15;Center;1988;Czech Republic
BENJAMIN HANDLOGTEN;;;1973;United States of America
ADAM HANGA;2.00;Forward;1989;Hungary
OLIVIER HANLAN;1.93;Guard;1993;Canada
CLEVIN HANNAH;1.79;Guard;1987;United States of America
BEN HANSBROUGH;1.90;Guard;1987;United States of America
STEVEN HANSELL;1.96;Guard;1975;England
TRAVIS HANSEN;1.98;Guard;1978;United States of America
ETHAN HAPP;2.08;Center;1996;United States of America
LUKE HARANGODY;2.03;Forward;1988;United States of America
ARAD HARARI;1.96;Guard;1994;Israel
CHRISTOS HARISSIS;1.88;Guard;1976;Greece
JUNIOR HARRINGTON;1.93;Guard;1980;United States of America
ELIAS HARRIS;2.03;Forward;1989;Germany
AARON HARRISON;1.98;Guard;1994;United States of America
ANDREW HARRISON;1.98;Guard;1994;United States of America
CLINT HARRISON;1.94;Forward;1976;United States of America
ISAIAH HARTENSTEIN;2.10;Forward;1998;Germany
ROBERT HATTON;1.87;Guard;1976;United States of America
NIKOS HATZIVRETTAS;1.95;Guard;1977;Greece
SAJMEN HAUER;1.93;Guard;1988;Germany
DAVID HAWKINS;1.93;Guard;1982;United States of America
MICHAEL HAWKINS;1.81;Guard;1972;United States of America
KEVARRIUS HAYES;2.05;Forward;1997;United States of America
NIGEL HAYES;2.03;Forward;1994;United States of America
MARQUEZ HAYNES;1.88;Guard;1986;United States of America
PATRICK HECKMANN;1.98;Forward;1992;Germany
UVIS HELMANIS;;Center;1972;Latvia
RICHARD HENDRIX;2.06;Center;1986;United States of America
NADAV HENEFELD;2.00;Forward;1968;Israel
MARTIN HENLAN;2.11;Center;1966;United Kingdom
DOMINIK HENNEN;2.01;Forward;1981;Germany
HILMAR HENNINGSSON;1.90;Guard;2000;Iceland
PIERRIA HENRY;1.93;Guard;1993;United States of America
WAYNE HENRY;1.98;Forward;1975;United Kingdom
JOHANNES HERBER;1.97;Guard;1983;Germany
MARTIN HERMANNSSON;1.90;Guard;1994;Iceland
ALEJANDRO HERNANDEZ;1.90;Guard;1987;Spain
EDUARDO HERNANDEZ;1.98;Forward;1975;Spain
EDU HERNANDEZ-SONSECA;2.12;Center;1983;Spain
WILLY HERNANGOMEZ;2.09;Center;1994;Spain
ALBERTO HERREROS;1.98;Forward;1969;Spain
WALTER HERRMANN;2.02;Forward;1979;Argentina
BARIS HERSEK;2.08;Forward;1988;Turkey
WILLIAM HERVE;2.00;Guard;1990;France
AXEL HERVELLE;2.05;Forward;1983;Belgium
DAVID HERWIG;1.93;Guard;1993;Germany
ADAM HESS;2.01;Forward;1981;United States of America
JERRY HESTER;1.98;Forward;1975;United States of America
RAFAEL HETTSHEIMEIR;2.08;Center;1986;Spain
THOMAS HEURTEL;1.89;Guard;1989;France
JOSH HEYTVELT;2.11;Forward;1986;United States of America
MARIO HEZONJA;1.98;Forward;1995;Croatia
PHILIP HICKEY;2.11;Center;1977;United States of America
RICKY HICKMAN;1.89;Guard;1985;United States of America
CORY HIGGINS;1.95;Guard;1989;United States of America
CHRIS HILL;1.91;Guard;1983;United States of America
KRIS HILL;2.05;Center;1972;United States of America
KYLE HILL;1.88;Guard;1979;United States of America
RICO HILL;1.96;Forward;1977;United States of America
DARRUN HILLIARD;1.98;Guard;1993;United States of America
KYLE HINES;1.98;Center;1986;United States of America
ROBERT HITE;1.88;Guard;1984;United States of America
TRYGGVI HLINASON;2.15;Center;1997;Iceland
BRAYDON HOBBS;1.96;Guard;1989;United States of America
WALTER HODGE;1.82;Guard;1986;United States of America
PETER HOFFMAN;1.98;Forward;1969;United States of America
FELIX HOFFMANN;1.95;Forward;1989;Germany
IVO HOGER;2.25;;1982;Czech Republic
RANDY HOLCOMB;2.04;Forward;1979;United States of America
JR HOLDEN;1.85;Guard;1976;Russian Federation
DELONTE HOLLAND;1.98;Forward;1982;United States of America
AUSTIN HOLLINS;1.93;Guard;1991;United States of America
JONATHAN HOLMES;2.04;Forward;1992;United States of America
JARED HOMAN;2.08;Center;1983;United States of America
TYLER HONEYCUTT;2.03;Forward;1990;United States of America
DEREK HOOD;2.03;Center;1976;United States of America
SCOTTY HOPSON;2.01;Forward;1989;United States of America
SAM HOSKIN;2.05;Forward;1979;United States of America
QUINTON HOSLEY;1.98;Forward;1984;United States of America
KEREM HOTIC;1.97;Forward;1993;Turkey
KYMANY HOUINSOU;1.96;Guard;2004;France
MEREDIS HOUMOUNOU;1.88;Guard;1988;France
SENNA HOUNHANOU;1.92;Guard;1990;Belgium
FRED HOUSE;1.93;Guard;1978;United States of America
KEVIN HOUSTON;1.78;Guard;1985;United States of America
MATT HOWARD;2.03;Forward;1989;United States of America
WILLIAM HOWARD;2.03;Forward;1993;France
ADAM HRYCANIUK;2.06;Center;1984;Poland
MARCELINHO HUERTAS;1.90;Guard;1983;Italy
RAFAEL HUERTAS;;;1984;Spain
JOSHUA HUESTIS;2.01;Forward;1991;United States of America
NATE HUFFMAN;2.16;Center;1975;United States of America
ROGER HUGGINS;2.01;Forward;1967;United Kingdom
JASMIN HUKIC;2.02;Forward;1979;Bosnia and Herzegovina
GAEL HULSEN;1.92;Guard;1990;Belgium
ROBBIE HUMMEL;2.03;Forward;1989;United States of America
BRANDON HUNTER;2.01;Forward;1980;United States of America
OTHELLO HUNTER;2.03;Center;1986;United States of America
VINCE HUNTER;2.03;Forward;1994;United States of America
ANDRE HUTSON;2.02;Forward;1979;United States of America
RADOSLAW HYZY;2.03;Forward;1977;Poland
LIVIO IAIA;2.05;Center;1990;Italy
LUCA IANES;2.02;Forward;1980;Italy
ANDREA IANNILLI;2.07;Forward;1984;Italy
ANTONIO IANNUZZI;2.07;Forward;1991;Italy
MICHELE IANNUZZI;2.10;;1984;Italy
IOANN IAROCHEVITCH;2.07;Center;1989;Belgium
SERGE IBAKA;2.08;Forward;1989;Spain
JOSE LUIS IBANEZ;1.96;Guard;2000;Spain
IBEJA AGI;2.13;Center;1981;Greece
YASSIN IDBIHI;2.08;Center;1983;Germany
MARTIN IDES;2.17;Center;1980;Czech Republic
KEVIN IDOMENEE;1.84;Guard;1991;France
VOLODYMYR IEGOROV;2.00;Forward;1991;Ukraine
MICHAL IGNERSKI;2.06;Forward;1980;Poland
SAVVAS ILIADIS;1.92;Guard;1979;Greece
ALEKSA ILIC;2.04;Forward;1996;Montenegro
VLADO ILIEVSKI;1.88;Guard;1980;North Macedonia
STANISLAV ILNITSKIY;2.00;Forward;1994;Russian Federation
OLIVIER ILUNGA;;Guard;1984;Sweden
OMERCAN ILYASOGLU;1.95;Guard;2001;Turkey
ERSAN ILYASOVA;2.07;Forward;1987;Turkey
ARNAUD IMHOFF;1.85;Guard;1993;France
KENNETH INGE;2.04;Forward;1978;United States of America
JOE INGLES;2.03;Forward;1987;Australia
TOMMASO INGROSSO;2.05;Forward;1992;Italy
ALI ISIK;2.05;Forward;1990;Turkey
IKER ITURBE;2.00;Forward;1976;Spain
ANDREI IVANOV;1.97;Forward;1984;Russian Federation
DEJAN IVANOV;2.05;Forward;1986;Bulgaria
NIKOLA IVANOVIC;1.91;Guard;1994;Montenegro
STEFAN IVANOVIC;;;1986;Serbia
IGOR IVASKOVIC;1.96;Guard;1983;Slovenia
COLTON IVERSON;2.13;Center;1989;United States of America
VLADIMIR IVLEV;2.07;Forward;1990;Russian Federation
IBRAHIM JAABER;1.88;Guard;1984;United States of America
AARON JACKSON;1.90;Guard;1986;United States of America
DAVID LEE JACKSON;1.95;Guard;1978;United States of America
EDWIN JACKSON;1.90;Forward;1989;France
GERMAINE JACKSON;1.93;Guard;1976;United States of America
MARC JACKSON;2.06;Center;1975;United States of America
PIERRE JACKSON;1.80;Guard;1991;United States of America
STANLEY JACKSON;1.91;Guard;1970;United States of America
CASEY JACOBSEN;1.98;Guard;1981;United States of America
YOHANN JACQUES;2.03;Forward;1990;France
AMAURY JADIN;1.89;Guard;1986;Belgium
JAN JAGLA;2.13;Forward;1981;Germany
MARKO JAGODIC-KURIDZA;2.05;Forward;1987;Serbia
GORAN JAGODNIK;2.02;Forward;1974;Slovenia
MAM JAITEH;2.08;Center;1994;France
KARIM JALLOW;1.98;Guard;1997;Germany
JEROME JAMES;2.16;Center;1975;United States of America
MIKE JAMES;1.85;Guard;1990;United States of America
SHAWN JAMES;2.08;Center;1983;United States of America
HAROLD JAMISON;2.04;Center;1976;United States of America
ZYGIMANTAS JANAVICIUS;1.92;Guard;1989;Lithuania
KRISTAPS JANICENOKS;1.95;Guard;1983;Latvia
GIEDRIUS JANKAUSKAS;2.07;Forward;1981;Lithuania
INGMAR JANKE;2.07;;1981;Germany
STEFAN JANKOVIC;2.11;Center;1993;Serbia
VLADIMIR JANKOVIC;2.02;Forward;1990;Greece
PAULIUS JANKUNAS;2.05;Forward;1984;Lithuania
MATT JANNING;1.93;Guard;1988;United States of America
NEMANJA JARAMAZ;2.00;Guard;1991;Serbia
MARKO JARIC;2.01;Guard;1978;Serbia
MATEUSZ JARMAKOWICZ;2.07;;1988;Poland
SIMAS JASAITIS;2.02;Guard;1982;Lithuania
HERNAN JASEN;1.99;Guard;1978;Italy
JUAN IGNACIO JASEN;1.96;Guard;1985;Italy
SARUNAS JASIKEVICIUS;;Guard;1976;Lithuania
VYTENIS JASIKEVICIUS;1.87;Guard;1985;Lithuania
JEAN MARC JAUMIN;1.84;Guard;1970;Belgium
ARTURAS JAVTOKAS;2.06;Forward;1977;Lithuania
ROBERTAS JAVTOKAS;2.11;Center;1980;Lithuania
NATE JAWAI;2.07;Center;1986;Australia
MICHEL JEAN-BAPTISTE-ADOLPHE;2.05;Center;1979;France
LIVIO JEAN-CHARLES;2.05;Forward;1993;France
AYMERIC JEANNEAU;1.85;Guard;1978;France
CORY JEFFERSON;2.06;Center;1990;United States of America
TONYE JEKIRI;2.12;Center;1994;Nigeria
NEMANJA JELESIJEVIC;2.08;Center;1979;Serbia
DUSAN JELIC;2.10;Center;1975;Greece
DAVID JELINEK;1.95;Guard;1990;Czech Republic
STEVAN JELOVAC;2.08;Forward;1989;Serbia
CHARLES JENKINS;1.91;Guard;1989;United States of America
HORACE JENKINS;1.86;Guard;1974;United States of America
JULIUS JENKINS;1.87;Guard;1981;United States of America
BRANDON JENNINGS;1.85;Guard;1989;United States of America
KEITH JENNINGS;1.79;Guard;1968;United States of America
JONAS JEREBKO;2.08;Center;1987;Sweden
GORAN JERETIN;1.92;Guard;1979;Montenegro
JOHN JEROME;2.04;Forward;1967;Belgium
CURTIS JERRELLS;1.85;Guard;1987;United States of America
BORIS JERSIN;;;1985;Slovenia
NIKOLA JESTRATIJEVIC;2.11;Center;1976;Serbia
POOH JETER;1.79;Guard;1983;United States of America
JORGE JIMENEZ MARTIN;1.84;;1981;Spain
CARLOS JIMENEZ;2.01;Forward;1976;Spain
MILLAN JIMENEZ;1.98;Guard;2002;Spain
JUAN ANTONIO JOBACHO;1.92;;1981;Spain
ALBERTO JODAR;2.02;Forward;1990;Spain
TAURAS JOGELA;2.03;Forward;1993;Lithuania
BRITTON JOHNSEN;2.06;Forward;1979;United States of America
DEMARCO JOHNSON;2.04;Forward;1975;United States of America
ELIJAH JOHNSON;1.93;Guard;1990;United States of America
JAJUAN JOHNSON;2.08;Forward;1989;United States of America
JERRY JOHNSON;1.83;Guard;1982;United States of America
LINTON JOHNSON;2.03;Forward;1980;United States of America
MARCUS JOHNSON;1.98;Guard;1987;United States of America
NATHAN JOHNSON;;;1981;United States of America
ORLANDO JOHNSON;1.96;Guard;1989;United States of America
WESLEY JOHNSON;2.01;Forward;1987;United States of America
DARIUS JOHNSON-ODOM;1.88;Guard;1989;United States of America
ROKAS JOKUBAITIS;1.93;Guard;2000;Lithuania
ARTURAS JOMANTAS;2.00;Forward;1985;Lithuania
ALVIN JONES;2.11;Center;1978;Luxembourg
CHRIS JONES;1.88;Guard;1993;United States of America
DWAYNE JONES;2.11;Center;1983;United States of America
JALEN JONES;2.01;Forward;1993;United States of America
KEVIN JONES;2.03;Center;1989;United States of America
JARED JORDAN;1.88;Guard;1984;United States of America
WALSH JORDAN;1.84;Guard;1972;United States of America
NIKOLA JOVANOVIC;2.11;Center;1994;Serbia
DEJAN JOVANOVSKI;1.98;Forward;1973;North Macedonia
STEFAN JOVIC;1.98;Guard;1990;Serbia
MARC JUDITH;1.93;Forward;1987;France
CYRIL JULIAN;2.06;Center;1974;France
GORAN JURAK;2.03;Forward;1977;Slovenia
MATTEO JURICIC;1.91;Guard;1991;Croatia
IVICA JURKOVIC;2.05;Forward;1973;Slovenia
ANDRIUS JURKUNAS;2.05;Forward;1976;Lithuania
ADAS JUSKEVICIUS;1.94;Guard;1989;Lithuania
BARTOSZ JYZ;1.97;Forward;1997;Poland
ELISHAY KADIR;2.02;Forward;1987;Israel
ILAN KADOSH;;;1979;Israel
DMITRII KADOSHNIKOV;2.01;Forward;2001;Russian Federation
PANAGIOTIS KAFKIS;1.95;Guard;1980;Greece
CHARLES KAHUDI;1.96;Forward;1986;France
KOSTAS KAIMAKOGLOU;2.06;Forward;1983;Greece
IOANNIS KAKIOUZIS;2.06;Forward;1978;Greece
MICHAILIS KAKIOUZIS;2.07;Forward;1976;Greece
GEORGIOS KALAITZAKIS;2.01;Guard;1999;Greece
DIMITRIOS KALAITZIDIS;1.98;Forward;1985;Greece
GEORGIOS KALAITZIS;;Guard;1976;Greece
GIANNIS KALAMPOKIS;1.96;Guard;1978;Greece
NIKOLA KALINIC;2.02;Forward;1991;Serbia
MANTAS KALNIETIS;1.95;Guard;1986;Lithuania
ERNESTS KALVE;2.03;Guard;1987;Latvia
KASPARS KAMBALA;2.05;Center;1978;Latvia
FEDERICO KAMMERICHS;2.03;Forward;1980;Germany
DAMJAN KANDIC;2.05;;1984;Montenegro
DEANDRE KANE;1.96;Guard;1989;United States of America
KRISTJAN KANGUR;2.01;Forward;1982;Estonia
ANDREAS KANONIDIS;1.98;Forward;1991;Greece
LAMINE KANTE;2.01;Forward;1987;France
ENES KANTER;2.05;Center;1992;Turkey
IGOR KANYGIN;2.07;Center;1994;Russian Federation
DORDE KAPLANOVIC;2.09;Center;1995;Serbia
JASON KAPONO;2.01;Forward;1981;United States of America
DIMITRIOS KARADOLAMIS;2.04;Forward;1987;Greece
KENAN KARAHODZIC;2.09;Center;1996;Serbia
KILIC KARAKUS;1.96;Guard;2000;Romania
IOANNIS  KARAMALEGKOS;1.89;Guard;1994;Greece
ILKAN KARAMAN;2.05;Forward;1990;Turkey
SERGEY KARASEV;2.01;Forward;1993;Russian Federation
VASILY KARASEV;;Guard;1971;Russian Federation
PANAGIOTIS KARAVANAS;2.13;Forward;1984;Greece
BOGDAN KAREBIN;2.00;;1978;Russian Federation
VAIDAS KARINIAUSKAS;1.98;Guard;1993;Lithuania
NERIJUS KARLIKANOVAS;2.04;;1976;Lithuania
ARTURAS KARNISOVAS;2.04;Forward;1971;Lithuania
JAKUB  KAROLAK;1.96;Forward;1993;Poland
ALEXEY KARPEKO;2.03;Forward;1988;Russian Federation
EVGENY KARPEKO;2.04;;1989;Russian Federation
ALEKSANDR KARPUKHIN;1.91;Guard;1990;Russian Federation
MAKSIM KARVANEN;2.04;Forward;1999;Russian Federation
LEONIDAS KASELAKIS;2.00;Forward;1990;Greece
ANATOLY KASHIROV;2.15;Center;1987;Russian Federation
JONATHAN KASIBABU;2.02;;1996;Congo
MANSOUR KASSE;2.06;Center;1992;Senegal
ERJON KASTRATI;1.98;Guard;1994;Albania
FRANKO KASTROPIL;2.13;Center;1984;Croatia
MARIO KASUN;2.13;Center;1980;Croatia
MINDAUGAS KATELYNAS;2.06;Forward;1983;Lithuania
RASKO KATIC;2.08;Center;1980;Serbia
TONI KATIC;1.85;Guard;1992;Croatia
PANAGIOTIS KATRANAS;;;1985;Greece
DIMITRIS KATSIVELIS;1.96;Guard;1991;Greece
EREZ KATZ;1.90;Guard;1980;Israel
RIMANTAS KAUKENAS;1.92;Guard;1977;Lithuania
SASHA KAUN;2.13;Center;1985;Russian Federation
ALI BERENT KAVAKLIOGLU;1.86;Guard;1986;Turkey
ANTANAS KAVALIAUSKAS;2.08;Center;1984;Lithuania
VASILEIOS KAVVADAS;2.04;Forward;1991;Greece
ANTON KAZARNOVSKI;2.05;;1985;Israel
SAULIUS KAZEVICIUS;1.88;;1975;Lithuania
DUSAN KECMAN;;Forward;1977;Serbia
THOMAS KELATI;1.95;Guard;1982;United States of America
TRE KELLEY;1.83;Guard;1985;United States of America
ZYDRUNAS KELYS;1.88;Guard;1987;Lithuania
MARCELUS KEMP;1.95;Guard;1984;United States of America
LEVON KENDALL;2.08;Center;1984;Ireland
TIM KENNEDY;1.96;Guard;1977;United States of America
JEFF KENT;2.06;Forward;1970;United States of America
JONATHAN KERNER;;;1974;United States of America
MARKO KESELJ;2.08;Forward;1988;Serbia
VICTOR KEYRU;2.00;Guard;1984;Russian Federation
BILLY KEYS;1.88;Guard;1977;United States of America
RUSLAN KHABIROV;1.92;Guard;1991;Russian Federation
JULIAN KHAZZOUH;2.09;Center;1986;Australia
GRYGORII KHIZHNIAK;2.16;Center;1974;Ukraine
ALEXANDER KHOMENKO;1.92;Guard;1999;Russian Federation
VICTOR KHRYAPA;2.03;Forward;1982;Russian Federation
DMITRY KHVOSTOV;1.90;Guard;1989;Russian Federation
STANTON KIDD;2.02;Forward;1992;United States of America
VASSILIS KIKILIAS;2.00;Forward;1974;Greece
PAWEL KIKOWSKI;1.93;Guard;1986;Poland
DENIZ KILICLI;2.06;Forward;1990;Turkey
SEAN KILPATRICK;1.93;Guard;1990;United States of America
ALEX KING;2.00;Forward;1985;Germany
BERNARD KING;1.96;Guard;1981;United States of America
TARENCE KINSEY;1.98;Forward;1984;United States of America
ANDREI KIRILENKO;2.06;Forward;1981;Russian Federation
ALEX KIRK;2.11;Center;1991;United States of America
EUGENY KISSOURINE;2.06;Forward;1969;Russian Federation
DERWIN KITCHEN;1.93;Guard;1986;United States of America
IWO KITZINGER;1.88;Guard;1985;Poland
MAXIMILIAN KLEBER;2.07;Forward;1992;Germany
FREDRICK KLEEMICHEN;2.07;Forward;1986;Germany
JONATHAN-CAN KLEINER;2.04;Forward;1992;Germany
LINAS KLEIZA;2.03;Forward;1985;Lithuania
TADAS KLIMAVICIUS;2.04;Forward;1982;Lithuania
ARTEM KLIMENKO;2.14;Center;1994;Russian Federation
JOVAN KLJAJIC;1.97;Guard;2001;Montenegro
JAKA KLOBUCAR;1.98;Guard;1987;Slovenia
TOMISLAV KNEZEVIC;1.97;Guard;1981;Croatia
INANC KOC;2.02;Forward;1979;Turkey
ALAIN KOFFI;2.05;Center;1983;France
EREZ KOHANSKY;1.95;;1753;Israel
ALEH KOJENETS;2.08;Center;1977;Belarus
LUKA KOKOL;1.92;;1995;Slovenia
GOKSENIN KOKSAL;1.96;Guard;1991;Turkey
IVAN KOLJEVIC;1.86;Guard;1984;Serbia
PATRICK KOLLER;1.88;Guard;1972;Switzerland
JOSCHA KOLNISKO;2.00;;1990;Germany
MAXIM KOLYUSHKIN;1.92;Forward;1990;Russian Federation
GEORGE KOMANIDIC-ANTONIADIS;;;1753;
ARIJAN KOMAZEC;2.01;Forward;1970;Croatia
NESTORAS KOMMATOS;2.03;Forward;1977;Greece
MOHAMED KONE;2.11;Center;1981;Cote D’Ivoire
ANTONIOS KONIARIS;1.96;Guard;1997;Greece
PETTERI KOPONEN;1.94;Guard;1988;Finland
CAN KORKMAZ;1.87;Guard;1992;Turkey
FURKAN KORKMAZ;2.02;Guard;1997;Turkey
CHARLES KORNEGAY;2.05;Center;1974;Spain
PAVEL KOROBKOV;2.06;Forward;1990;Russian Federation
YAROSLAV KOROLEV;2.06;;1987;Russian Federation
EVANGELOS KORONIOS;1.86;Guard;1969;Greece
EUGENI KORSHUNOV;2.00;;1753;Russian Federation
ROBERT KOSCIUK;1.82;Guard;1969;Poland
MATEUSZ KOSTRZEWSKI;1.97;Forward;1989;Poland
EMIRCAN KOSUT;2.16;Center;1995;Turkey
LUKASZ KOSZAREK;1.87;Guard;1984;Poland
SLAVKO KOTNIK;2.06;Center;1962;Slovenia
DEJAN KOTUROVIC;2.13;Center;1972;Serbia
KOSTA KOUFOS;2.13;Center;1989;United States of America
ALEXANDER KOUL;2.13;Center;1975;Belarus
FANIS KOUMPOURAS;1.87;Guard;1983;Greece
ARTEMIOS KOUVARIS;1.93;;1975;Greece
MIRKO KOVAC;1.99;Guard;1983;Serbia
NIKOLA KOVAC;;;1987;Croatia
DEJAN KOVACEVIC;2.07;Forward;1996;Germany
SINISA KOVACEVIC;2.00;Forward;1978;Bosnia and Herzegovina
EMILIO KOVACIC;;Center;1968;Croatia
MARIJAN KRALJEVIC;2.12;Center;1970;Slovenia
CHRIS KRAMER;1.91;Guard;1988;United States of America
BARISA KRASIC;2.03;Forward;1978;Croatia
LEON KRATZER;2.12;Center;1997;Germany
ALEKSANDER KRAUZE;1.88;Guard;1989;Poland
VIACHESLAV KRAVTSOV;2.13;Center;1987;Ukraine
KERR KRIISA;1.89;Guard;2001;Estonia
IOANNIS KRITIKOS;2.00;Forward;1978;Greece
MAKSIM KRIVOSHEEV;2.02;Forward;1988;Russian Federation
IVAN KROLO;2.17;;1983;Croatia
MAXIM KROPATCHEV;2.05;;1964;Israel
STIPE KRSTANOVIC;2.04;Forward;1993;Croatia
NENAD KRSTIC;2.12;Center;1983;Serbia
VLADIMIR KRSTIC;1.85;Guard;1972;Croatia
BERND KRUEL;2.10;Forward;1976;Germany
DARKO KRUNIC;1.94;Guard;1968;Croatia
DAMIR KRUPALIJA;2.05;Forward;1979;Bosnia and Herzegovina
FILIP KRUSLIN;1.90;Guard;1989;Croatia
DARIUSZ KRZEPTON;;;1981;Poland
MACIEJ KUCHAREK;2.04;Forward;1993;Poland
OSKAR KUCIEWICZ;1.92;;1996;Poland
JAKUB KUDLACEK;1.93;Guard;1990;Czech Republic
MICHAEL KUEBLER;1.95;Guard;1982;United States of America
ALEXANDER KUHEL;2.14;Center;1973;Germany
RIHARDS KUKSIKS;1.98;Forward;1988;Latvia
DMITRY KULAGIN;1.98;Guard;1992;Russian Federation
MIKHAIL KULAGIN;1.91;Guard;1994;Russian Federation
DAMIAN  KULIG;2.05;Center;1987;Poland
MINDAUGAS KUPSAS;2.17;Center;1991;Lithuania
ERMAL KUQO;2.07;Center;1980;Albania
NIKITA KURBANOV;2.02;Forward;1986;Russian Federation
KYLE KURIC;1.93;Forward;1989;Slovakia
