player;height;position;year_born;nationality
PATRICK BALDWIN;1.87;Guard;1972;United States of America
GEORGIOS BALLOGIANNIS;1.98;Guard;1971;Greece
MARCOS BALTANAS;1.93;Guard;1976;Spain
ONDREJ BALVIN;2.17;Center;1992;Czech Republic
MARKO BANIC;2.04;Center;1984;Croatia
CEDRICK BANKS;1.90;Guard;1981;United States of America
MARCUS BANKS;1.88;Guard;1981;United States of America
BILLY BAPTIST;1.90;Guard;1987;United States of America
STANKO BARAC;2.17;Center;1986;Croatia
PELEG BARAK;1.94;Guard;1972;Israel
NIKOLA BARAN;;;1987;Croatia
MAKSIM BARASHKOV;2.01;Forward;1998;Russian Federation
ANDREA BARGNANI;2.13;Center;1985;Italy
NIKITA BARINOV;2.03;Forward;1991;Russian Federation
PAOLO BARLERA;2.08;Center;1982;Italy
NIKOS BARLOS;;Forward;1979;Greece
DAVID BARLOW;2.05;Forward;1983;Australia
STEPHEN BARNES;2.04;Forward;1973;United Kingdom
BILLY BARON;1.88;Guard;1990;United States of America
FILIP BAROVIC;2.07;Center;1990;Montenegro
JONATHAN BARREIRO;2.02;Forward;1997;Spain
PANCHI BARRERA;1.93;Guard;1985;Spain
ANDRE BARRETT;1.75;Guard;1982;United States of America
CARLOS BARROCA;;Forward;1984;Portugal
DANILO BARTHEL;2.08;Forward;1991;Germany
LORENZO BARTOLI;1.98;;1994;Italy
LUBOS BARTON;2.00;Forward;1980;Czech Republic
RASIM BASAK;2.02;Forward;1980;Turkey
EDDIE BASDEN;1.95;Forward;1983;United States of America
FRANCESCO BASEI;2.03;Forward;1983;Italy
ALEXANDR BASHMINOV;2.11;Center;1978;Russian Federation
GIANLUCA BASILE;1.92;Guard;1975;Italy
MARIUS BASINSKAS;1.98;Forward;1981;Lithuania
MACEO BASTON;2.06;Forward;1976;United States of America
FABIO BASTONI;;;1988;Italy
MARIOS BATIS;1.88;Guard;1980;Greece
ESTEBAN BATISTA;2.08;Center;1983;Uruguay
J.P. BATISTA;2.06;Center;1981;Brazil
MIKE BATISTE;2.04;Forward;1977;United States of America
BIRKAN BATUK;1.96;Forward;1990;Turkey
NICOLAS BATUM;2.03;Forward;1988;France
MICHAEL BAUER;2.03;Guard;1981;United States of America
EDIN BAVCIC;2.10;Forward;1984;Bosnia and Herzegovina
LONNY BAXTER;2.03;Center;1979;United States of America
EMRE BAYAV;2.11;Center;1987;Turkey
MUHAMMED BAYGUL;1.95;Guard;1992;Turkey
OGULCAN BAYKAN;1.96;Guard;1996;Turkey
ARON BAYNES;2.08;Center;1986;Australia
ENIS BAYRAK;;;1989;Turkey
ERCAN BAYRAK;2.08;Forward;1997;Turkey
SERGEY BAZAREVICH;1.93;Guard;1965;Russian Federation
MARINO BAZDARIC;1.95;Guard;1978;Croatia
JOEY BEARD;2.10;Center;1975;Italy
TANOKA BEARD;2.06;Center;1971;United States of America
JEROME BEASLEY;2.08;Center;1980;United States of America
RODRIGUE BEAUBOIS;1.90;Guard;1988;France
SANI BECIROVIC;1.95;Guard;1981;Slovenia
HURL BEECHUM III;1.96;Forward;1973;Germany
CHRISTOPHE BEGHIN;;Center;1980;Belgium
MIRZA BEGIC;2.16;Center;1985;Slovenia
TIM BEGLEY;1.98;Guard;1983;United States of America
JAVIER BEIRAN;2.00;;1987;Spain
ROMARIC BELEMENE;2.02;Forward;1997;Democratic Republic of the Congo
LAURYNAS BELIAUSKAS;1.89;Guard;1997;Lithuania
MARCO BELINELLI;1.95;Guard;1986;Italy
CHARLIE BELL;1.91;Guard;1979;United States of America
JAMES BELL;1.96;Forward;1992;United States of America
TROY BELL;1.84;Guard;1980;United States of America
TOMAS BELLAS;1.85;;1987;Spain
 MIGUEL ANGEL BELTRAN;2.06;;1981;Spain
IDDO BEN HARUSH;1.90;Guard;1998;Israel
AVI BEN-CHIMOL;1.95;Guard;1985;Israel
DRAGAN BENDER;2.11;Forward;1997;Croatia
EIMANTAS BENDZIUS;2.03;Forward;1990;Lithuania
DOREMUS BENNERMAN;1.81;Guard;1972;Sweden
MARIO BENNET;2.08;Forward;1973;United States of America
ANTHONY BENNETT;2.03;Forward;1993;Canada
ELMER BENNETT;1.83;Guard;1970;United States of America
KEITH BENSON;2.11;Center;1988;United States of America
ROD BENSON;2.08;Center;1984;United States of America
BEN BENTIL;2.04;Forward;1995;Ghana
ROBIN BENZING;2.08;Forward;1989;Germany
TOMER BER AVEN;1.97;;1992;Israel
DAVID BERBOIS;1.85;Guard;1973;Spain
MIROSLAV BERIC;2.00;Guard;1973;Serbia
DAVION BERRY;1.92;Guard;1991;United States of America
DAIRIS BERTANS;1.92;Guard;1989;Latvia
DAVIS BERTANS;2.05;Forward;1992;Latvia
SIMONE BERTI;1.96;Guard;1985;Italy
KASPARS BERZINS;2.13;Center;1985;Latvia
HUSEYIN BESOK;2.12;Center;1975;Turkey
NEMANJA BESOVIC;2.21;Center;1992;Serbia
JOHN HERBERT BEST;2.03;Forward;1971;United States of America
TRAVIS BEST;1.80;Guard;1972;United States of America
ANDY BETTS;2.17;Center;1977;United Kingdom
PATRICK BEVERLEY;1.85;Guard;1988;United States of America
NEMANJA BEZBRADICA;2.04;Forward;1993;Serbia
CAMILLO BIANCHI;1.94;;1990;Italy
CLAUDIO BIANCHINI;1.90;;1982;Italy
TARIK BIBEROVIC;2.01;Forward;2001;Turkey
RALPH BIGGS;2.01;Forward;1976;Belgium
RAFAEL BIGUS;2.15;Center;1976;Poland
MIRO BILAN;2.13;Center;1989;Croatia
JIM BILBA;1.98;Forward;1968;France
PAUL BILIGHA;2.00;Center;1990;Italy
KHEM BIRCH;2.06;Center;1992;Canada
METECAN BIRSEN;2.05;Forward;1995;Ireland
LAURYNAS BIRUTIS;2.13;Center;1997;Lithuania
GOGA BITADZE;2.12;Center;1999;Georgia
ONURALP BITIM;1.96;Guard;1999;Turkey
VLADIMIR BJELETIC;;;1986;Serbia
MILKO BJELICA;2.07;Center;1984;Montenegro
NEMANJA BJELICA;2.09;Forward;1988;Serbia
TARIK BLACK;2.06;Center;1991;United States of America
JAMES BLACKWELL;1.83;Guard;1968;United States of America
JOSEPH BLAIR;2.08;Center;1974;United States of America
