ACTION|CONSOLE|COORD_X|COORD_Y|FASTBREAK|ID_ACTION|ID_PLAYER|MINUTE|NUM_ANOT|PLAYER|POINTS|POINTS_A|POINTS_B|POINTS_OFF_TURNOVER|SECOND_CHANCE|TEAM|UTC|ZONE|Game
Two Pointer|02:00|363|75||2FGM|PKCH      |38|457|HUTSON, ANDRE|2|55|68|||ROM       ||E|80
Missed Two Pointer|01:00|313|87||2FGA|PKCH      |39|462|HUTSON, ANDRE|0|55|68|||ROM       ||E|80
Dunk|01:00|6|6||DUNK|PJAN      |39|464|PONKRASHOV, ANTON|2|55|70|||CSK       ||A|80
Free Throw In|01:00|-1|-1||FTM|PKCH      |39|467|HUTSON, ANDRE|1|56|70|||ROM       || |80
Free Throw In|01:00|-1|-1||FTM|PKCH      |39|468|HUTSON, ANDRE|1|57|70|||ROM       || |80
Missed Layup|01:00|31|125||LAYUPATT|PBFF      |39|471|RADENOVIC, IVAN|0|57|70|||CSK       ||C|80
Missed Three Pointer|00:00|508|476||3FGA|PJAN      |40|476|PONKRASHOV, ANTON|0|57|70|||CSK       ||I|80
Missed Layup|00:00|-87|106||LAYUPATT|PBAP      |40|478|TOURE, HERVE|0|57|70|||ROM       ||B|80
Free Throw In|00:00|-1|-1||FTM|P000179   |40|482|KEYRU, VICTOR|1|57|71|||CSK       || |80
Free Throw In|00:00|-1|-1||FTM|P000179   |40|483|KEYRU, VICTOR|1|57|72|||CSK       || |80
Layup Made|09:00|-144|56||LAYUPMD|P000541   |1|2|LOGAN, DAVID|2|2|0|||SOP       ||B|81
Missed Three Pointer|09:00|508|595||3FGA|PAHV      |1|3|GARBAJOSA, JORGE|0|2|0|||MAD       ||I|81
Free Throw In|09:00|-1|-1||FTM|PAAX      |1|9|REYES, FELIPE|1|2|1|||MAD       || |81
Layup Made|09:00|-81|125||LAYUPMD|PAAX      |1|13|REYES, FELIPE|2|2|3|||MAD       ||B|81
Two Pointer|08:00|-69|257||2FGM|P001210   |2|16|HRYCANIUK, ADAM|2|4|3|||SOP       ||D|81
Missed Two Pointer|08:00|388|50||2FGA|PLGW      |2|21|BURRELL, RONNIE|0|4|3|||SOP       ||E|81
Layup Made|08:00|-100|56||LAYUPMD|P001210   |2|23|HRYCANIUK, ADAM|2|6|3|||SOP       ||B|81
Missed Three Pointer|07:00|194|752||3FGA|P000541   |3|27|LOGAN, DAVID|0|6|3|||SOP       ||I|81
Layup Made|07:00|-125|112||LAYUPMD|P000541   |3|34|LOGAN, DAVID|2|8|3|||SOP       ||B|81
Missed Two Pointer|06:00|244|426||2FGA|PAAX      |4|36|REYES, FELIPE|0|8|3|||MAD       ||G|81
Missed Two Pointer|06:00|432|56||2FGA|P000541   |4|38|LOGAN, DAVID|0|8|3|||SOP       ||E|81
Free Throw In|06:00|-1|-1||FTM|P001210   |4|46|HRYCANIUK, ADAM|1|9|3|||SOP       || |81
Free Throw In|06:00|-1|-1||FTM|P001210   |4|47|HRYCANIUK, ADAM|1|10|3|||SOP       || |81
Layup Made|05:00|56|56||LAYUPMD|PAAX      |5|49|REYES, FELIPE|2|10|5|||MAD       ||C|81
Free Throw In|05:00|-1|-1||FTM|PAAX      |5|53|REYES, FELIPE|1|10|6|||MAD       || |81
Three Pointer|05:00|-6|746||3FGM|PAHV      |5|57|GARBAJOSA, JORGE|3|10|9|||MAD       ||H|81
Layup Made|05:00|125|75||LAYUPMD|P001210   |5|63|HRYCANIUK, ADAM|2|12|9|||SOP       ||C|81
Missed Three Pointer|05:00|-533|545||3FGA|PJKM      |5|65|HANSEN, TRAVIS|0|12|9|||MAD       ||H|81
Missed Layup|04:00|144|131||LAYUPATT|PAAX      |6|68|REYES, FELIPE|0|12|9|||MAD       ||C|81
Free Throw In|04:00|-1|-1||FTM|P000378   |6|74|EWING, DANIEL|1|13|9|||SOP       || |81
Free Throw In|04:00|-1|-1||FTM|P000378   |6|75|EWING, DANIEL|1|14|9|||SOP       || |81
Missed Two Pointer|04:00|244|56||2FGA|PAHV      |6|76|GARBAJOSA, JORGE|0|14|9|||MAD       ||C|81
Missed Layup|03:00|-163|75||LAYUPATT|PJNN      |7|84|VELICKOVIC, NOVICA|0|14|9|||MAD       ||B|81
Layup Made|03:00|75|87||LAYUPMD|P000541   |7|88|LOGAN, DAVID|2|16|9|||SOP       ||C|81
Three Pointer|03:00|-577|470||3FGM|PCBX      |7|89|PRIGIONI, PABLO|3|16|12|||MAD       ||H|81
Two Pointer|02:00|370|50||2FGM|PTFV      |8|94|WOODS, QYNTEL|2|18|12|||SOP       ||E|81
Three Pointer|02:00|-351|683||3FGM|PTFV      |8|101|WOODS, QYNTEL|3|21|12|||SOP       ||H|81
Three Pointer|01:00|407|702||3FGM|PBWK      |9|103|LAVRINOVIC, DARJUS|3|21|15|||MAD       ||I|81
Missed Two Pointer|01:00|376|50||2FGA|PTFV      |9|105|WOODS, QYNTEL|0|21|15|||SOP       ||E|81
Missed Three Pointer|01:00|-432|652||3FGA|PCBX      |9|107|PRIGIONI, PABLO|0|21|15|||MAD       ||H|81
Missed Layup|01:00|-69|181||LAYUPATT|P000747   |9|109|SOW, PAPE|0|21|15|||SOP       ||B|81
Missed Two Pointer|00:00|-319|357||2FGA|PAHV      |10|119|GARBAJOSA, JORGE|0|21|15|||MAD       ||F|81
Three Pointer|00:00|595|439||3FGM|PBJR      |10|121|KAUKENAS, RIMANTAS|3|21|18|||MAD       ||I|81
Three Pointer|00:00|696|6||3FGM|PTFV      |10|123|WOODS, QYNTEL|3|24|18|||SOP       ||I|81
Three Pointer|00:00|-31|740||3FGM|PJKM      |10|128|HANSEN, TRAVIS|3|24|21|||MAD       ||H|81
Three Pointer|09:00|-627|395||3FGM|PJKM      |11|134|HANSEN, TRAVIS|3|24|24|||MAD       ||H|81
Missed Three Pointer|09:00|-520|520||3FGA|PTFV      |11|143|WOODS, QYNTEL|0|24|24|||SOP       ||H|81
Missed Three Pointer|08:00|-627|420||3FGA|PJKM      |12|154|HANSEN, TRAVIS|0|24|24|||MAD       ||H|81
Layup Made|08:00|138|31||LAYUPMD|PTFV      |12|158|WOODS, QYNTEL|2|26|24|||SOP       ||C|81
Layup Made|07:00|56|156||LAYUPMD|PBWK      |13|160|LAVRINOVIC, DARJUS|2|26|26|||MAD       ||C|81
Free Throw In|07:00|-1|-1||FTM|PBWK      |13|164|LAVRINOVIC, DARJUS|1|26|27|||MAD       || |81
Layup Made|07:00|100|56||LAYUPMD|PLEA      |13|167|KOSTRZEWSKI, MATEUSZ|2|28|27|||SOP       ||C|81
Missed Three Pointer|07:00|677|25||3FGA|PAJK      |13|168|VIDAL, SERGI|0|28|27|||MAD       ||I|81
Missed Layup|07:00|-150|43||LAYUPATT|PTFV      |13|171|WOODS, QYNTEL|0|28|27|||SOP       ||B|81
Three Pointer|07:00|-696|0||3FGM|PAHV      |13|173|GARBAJOSA, JORGE|3|28|30|||MAD       ||H|81
Missed Layup|06:00|50|163||LAYUPATT|P000378   |14|186|EWING, DANIEL|0|28|30|||SOP       ||C|81
Missed Layup|06:00|50|169||LAYUPATT|PJKM      |14|188|HANSEN, TRAVIS|0|28|30|||MAD       ||C|81
Free Throw In|05:00|-1|-1||FTM|PAAX      |15|197|REYES, FELIPE|1|28|31|||MAD       || |81
Free Throw In|05:00|-1|-1||FTM|PAAX      |15|198|REYES, FELIPE|1|28|32|||MAD       || |81
Missed Layup|05:00|119|50||LAYUPATT|P000592   |15|201|JAGLA, JAN-HENDRICK|0|28|32|||SOP       ||C|81
Missed Layup|05:00|-138|106||LAYUPATT|PAAX      |15|203|REYES, FELIPE|0|28|32|||MAD       ||B|81
Two Pointer|05:00|-119|169||2FGM|P000747   |15|207|SOW, PAPE|2|30|32|||SOP       ||B|81
Two Pointer|04:00|-156|156||2FGM|P000541   |16|211|LOGAN, DAVID|2|32|32|||SOP       ||B|81
Layup Made|04:00|-87|69||LAYUPMD|P001711   |16|215|HARRINGTON, JUNIOR|2|34|32|||SOP       ||B|81
Missed Three Pointer|04:00|677|31||3FGA|PTGB      |16|216|LLULL, SERGIO|0|34|32|||MAD       ||I|81
Free Throw In|03:00|-1|-1||FTM|P000747   |17|232|SOW, PAPE|1|35|32|||SOP       || |81
Free Throw In|03:00|-1|-1||FTM|P000747   |17|233|SOW, PAPE|1|36|32|||SOP       || |81
Free Throw In|03:00|-1|-1||FTM|PJKM      |17|236|HANSEN, TRAVIS|1|36|33|||MAD       || |81
Free Throw In|03:00|-1|-1||FTM|PJKM      |17|237|HANSEN, TRAVIS|1|36|34|||MAD       || |81
Missed Layup|03:00|100|119||LAYUPATT|PTFV      |17|244|WOODS, QYNTEL|0|36|34|||SOP       ||C|81
Three Pointer|02:00|627|363||3FGM|PCBX      |18|247|PRIGIONI, PABLO|3|36|37|||MAD       ||I|81
Layup Made|02:00|69|87||LAYUPMD|P000747   |18|253|SOW, PAPE|2|38|37|||SOP       ||C|81
Missed Three Pointer|02:00|-552|508||3FGA|PCBX      |18|254|PRIGIONI, PABLO|0|38|37|||MAD       ||H|81
Missed Three Pointer|01:00|432|627||3FGA|PTFV      |19|257|WOODS, QYNTEL|0|38|37|||SOP       ||I|81
Three Pointer|01:00|464|621||3FGM|PJKM      |19|261|HANSEN, TRAVIS|3|38|40|||MAD       ||I|81
