Player;G;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;Team;Season
Rafa Martinez;29;15.4;2.1;4.3;484;1.2;2.7;442;0.9;1.6;553;1.6;1.9;870;0.4;0.9;1.3;1.3;0.5;0.0;0.8;1.6;6.9;Valencia Basket;18
Erick Green;28;24.6;4.5;10.1;445;1.5;3.7;417;3.0;6.4;461;3.9;4.3;900;0.3;1.4;1.7;1.7;0.8;0.0;1.0;1.3;14.4;Valencia Basket;18
Alberto Abalde;25;19.1;2.8;5.7;497;1.1;2.2;519;1.7;3.6;483;0.8;0.9;870;0.5;1.6;2.1;1.7;0.3;0.0;1.3;1.8;7.6;Valencia Basket;18
Sam Van Rossom;24;21.6;2.4;5.3;449;1.4;3.4;420;1.0;1.9;500;1.0;1.2;857;0.5;1.5;2.0;4.0;0.3;0.0;1.8;1.9;7.2;Valencia Basket;18
Bojan Dubljevic;24;20.2;3.7;7.9;471;1.0;2.6;371;2.8;5.3;520;2.4;2.9;814;1.5;3.4;5.0;1.4;0.5;0.1;1.4;2.3;10.8;Valencia Basket;18
Fernando San Emeterio;20;22.2;3.4;7.6;450;1.5;3.6;403;2.0;4.0;494;1.2;1.5;793;0.3;2.5;2.8;2.3;0.3;0.0;1.6;1.5;9.4;Valencia Basket;18
Joan Sastre;18;20.9;1.9;4.3;455;1.0;2.2;462;0.9;2.1;447;0.7;0.8;800;0.8;1.4;2.3;2.0;0.6;0.2;1.4;1.8;5.6;Valencia Basket;18
Guillem Vives;16;18.4;1.5;3.9;387;1.1;3.1;360;0.4;0.8;500;0.3;0.3;1000;0.4;1.3;1.8;3.7;0.6;0.3;1.1;2.9;4.4;Valencia Basket;18
Damjan Rudez;11;11.5;1.1;3.1;353;0.7;1.9;381;0.4;1.2;308;0.1;0.1;1000;0.2;0.8;1.0;0.9;0.1;0.1;0.7;1.5;3.0;Valencia Basket;18
Tryggvi Hlinason;11;8.2;1.3;2.0;636;0.0;0.0;0;1.3;2.0;636;0.5;1.1;417;0.8;1.1;1.9;0.2;0.3;0.7;0.3;1.1;3.0;Valencia Basket;18
Josep Puerto;10;3.2;0.3;0.8;375;0.0;0.1;0;0.3;0.7;429;0.3;0.4;750;0.1;0.3;0.4;0.1;0.1;0.1;0.0;0.1;0.9;Valencia Basket;18
Sergi Garcia;8;13.0;1.6;3.8;433;0.8;2.0;375;0.9;1.8;500;0.4;0.4;1000;0.6;0.5;1.1;1.5;0.3;0.0;1.0;1.6;4.4;Valencia Basket;18
Latavious Williams;4;8.0;1.5;2.3;667;0.0;0.3;0;1.5;2.0;750;0.3;0.3;1000;0.5;0.8;1.3;0.3;0.0;0.0;0.5;1.5;3.3;Valencia Basket;18
Taylor Rochestie;30;26.0;5.1;10.3;494;1.7;4.1;407;3.4;6.2;551;1.6;1.8;891;0.4;1.8;2.3;5.0;0.8;0.1;1.8;2.1;13.4;Crvena Zvezda mts Belgrade;18
Mathias Lessort;30;21.1;3.3;6.1;549;0.0;0.0;0;3.3;6.0;552;1.8;2.9;632;2.9;2.8;5.7;0.8;0.8;0.7;1.7;2.8;8.5;Crvena Zvezda mts Belgrade;18
